"","A","B","C","loss","t_c","m","omega","phi"
"1",9.85,-0.4,0.02,0.996946730101279,1997.97819753417,0.669704502200087,8.51208522054367,5.77879868995528
"2",9.925,-0.5,0.04,1.02822322448696,1997.93615695219,0.49324112009878,9.1050997308145,5.34476871661711
"3",10,-0.4,0.02,1.05483744736573,1998.54865299451,0.698242200165987,12.0953319394806,5.52774807933346
"4",9.775,-0.4,0.04,1.05546710463289,1997.71722767586,0.620972543737541,6.63139025436249,3.80288632514463
"5",10,-0.5,0.02,1.06324883711387,1998.13597870174,0.562864381602655,11.1860053796166,1.19419823924149
"6",10,-0.5,0.03,1.06424553855744,1998.20891704587,0.561845746201774,11.134537294313,1.76801399370996
"7",10,-0.6,0.04,1.07267753707275,1997.84886996175,0.439913889765739,8.74214504286647,5.23943843302039
"8",9.7,-0.3,0.02,1.08235956254641,1997.76351272662,0.813714629691094,6.4646240681177,4.21409358758147
"9",9.925,-0.5,0.03,1.08408948433935,1997.90269761314,0.518136938288808,7.69295873004012,5.26959417147461
"10",9.775,-0.4,0.03,1.08936323102563,1997.73664183983,0.593071651862313,8.53357747550278,4.37284576733269
"11",9.85,-0.3,0.02,1.09067055680242,1998.41712286764,0.82312930005913,11.5956680593081,4.09882670210826
"12",9.775,-0.3,0.02,1.10040653881012,1998.10916055776,0.809931595157832,11.1409246313463,1.38979565270078
"13",10,-0.5,0.04,1.10179560724333,1998.18995019427,0.556860908555488,10.1255331647117,1.47964179716476
"14",9.85,-0.5,0.04,1.10597093210722,1997.6597798933,0.429235966969281,7.80228267528582,3.14841212009366
"15",9.925,-0.4,0.02,1.11752516435081,1998.20169991292,0.695391961373389,11.2397552736802,2.72929150488725
"16",9.775,-0.4,0.02,1.12777779073374,1997.7109147182,0.551113478342692,7.86894649857034,3.39410595358802
"17",10,-0.5,0.01,1.12866038243932,1998.18987194129,0.570926517403374,11.2326468705821,2.72660828345174
"18",9.925,-0.4,0.01,1.1343099626616,1998.2228075265,0.679419151352098,10.1883607583198,2.02497294375592
"19",9.85,-0.4,0.01,1.13588524051322,1998.00038487796,0.661751418622831,8.71463594655506,5.51726578365615
"20",9.85,-0.3,0.01,1.15085408209384,1998.37943723866,0.860526674458136,10.8021425554374,4.02066373327068
"21",9.7,-0.3,0.01,1.15627284912687,1997.78019161187,0.802968040232857,9.35545293148607,4.49835085279945
"22",9.925,-0.4,0.03,1.15942169230341,1998.32194228896,0.650479825586081,11.1579329849143,3.51872057520529
"23",10,-0.4,0.01,1.16247837968798,1998.48064344476,0.706435152112196,11.9933036453634,4.66145805189756
"24",9.775,-0.3,0.01,1.17343098680442,1998.0338253201,0.823916942222665,9.26649223609517,5.82816014311698
"25",9.925,-0.5,0.01,1.19230528548478,1997.8781837446,0.550329589533309,9.03621632345797,4.83059946062282
"26",9.925,-0.3,0.01,1.19804543276701,1998.66098458217,0.849145881272852,12.1341458094927,0.20244792576681
"27",9.925,-0.5,0.02,1.1986511683177,1997.94657306876,0.47785251311337,9.15808548553226,5.450586307735
"28",9.775,-0.4,0.01,1.23353623103401,1997.73342950571,0.568056607277443,8.49378779534406,4.0225519552827
"29",9.7,-0.3,0.03,1.23478406203405,1997.76468638927,0.806819528155029,7.98436471521078,3.84917865249159
"30",9.775,-0.3,0.03,1.23764233988007,1998.0378726917,0.78595704967156,10.7274566889973,0.758992517180103
"31",9.85,-0.4,0.03,1.26797070840421,1998.02406160152,0.627659149002284,9.39116039487999,5.54462333408794
"32",9.85,-0.4,0.04,1.2866868557397,1997.99606368883,0.588951365556568,8.91956493782345,6.04161349772693
"33",9.85,-0.3,0.03,1.29033260981582,1998.46118832727,0.793814585295816,12.2673166687212,4.7529195273418
"34",9.7,-0.3,0.04,1.31031378779019,1997.80124890562,0.831775281019509,6.62991548438246,4.11690974885593
"35",9.85,-0.5,0.01,1.3115245600962,1997.657776525,0.491922261472791,6.51370316833103,3.26988186453513
"36",9.85,-0.5,0.02,1.32164270657936,1997.64135732362,0.449535197019577,8.55107237189077,3.31224145359157
"37",10,-0.6,0.05,1.32702688027804,1997.80168971783,0.412114547317227,9.50631594572527,4.59337828249428
"38",10,-0.6,0.02,1.33284693503857,1997.83637562771,0.43763493783772,10.7524664427619,5.44045683108164
"39",10,-0.6,0.01,1.34788431640665,1997.80504847386,0.460190949775279,9.01926246681251,4.27999840034717
"40",9.775,-0.4,0.05,1.35165245871236,1997.68424944974,0.504878779624899,7.73260477736282,3.41861764656794
"41",9.85,-0.5,0.03,1.35882199017853,1997.64572521523,0.527305129511903,6.44544322070821,3.62021071396075
