"","A","B","C","loss","t_c","m","omega","phi"
"1",5.9,-0.3,0.01,0.854161223658698,1988.0870494082,0.836552201304585,11.2238533063792,5.49725570733711
"2",5.8,-0.3,0.02,0.86064005775292,1987.67036420434,0.818294138492395,8.21722532704007,1.51811877871977
"3",5.8,-0.3,0.01,0.879591164912962,1987.71116865319,0.807244525818775,7.74999305563203,1.99602236136034
"4",6.1,-0.5,0.02,0.883205404548851,1988.09819687811,0.565150910026083,10.9390705586799,5.68550827481598
"5",6.1,-0.5,0.03,0.89067831550894,1988.09305938008,0.60393549328049,10.5953059692401,5.47536254677433
"6",6,-0.4,0.01,0.892456006369019,1988.07453541878,0.689946656860411,10.3428691362885,6.07859759381346
"7",5.9,-0.3,0.02,0.898977814647593,1988.06118800833,0.833968758831422,10.0404482035277,5.77853770415084
"8",6,-0.4,0.02,0.91145277054425,1988.04682036738,0.699462465910862,9.58717789997657,3.98600495107899
"9",6.2,-0.6,0.01,0.917291656958864,1988.07702325037,0.504589565067242,9.02130047623844,5.04922304860517
"10",6.1,-0.6,0.03,0.939586824035069,1987.76886448653,0.408578524210801,6.5138318152943,2.51562688832691
"11",6.2,-0.6,0.02,0.946510644132696,1988.09641726037,0.51273161796853,8.72745408886112,4.57642466385087
"12",5.9,-0.3,0.03,0.961026043418664,1987.97828255446,0.895733919925988,10.6572046943475,4.78326679225005
"13",5.9,-0.4,0.01,0.96843415661525,1987.7133780243,0.605310869279007,6.23252018187971,2.07489209006016
"14",6,-0.5,0.02,0.970667962664067,1987.7660009085,0.512716881620387,6.87056431667103,2.83767720261137
"15",6.2,-0.6,0.03,0.971212996501639,1988.04443292678,0.514617374446243,8.02668053288168,4.01146042347017
"16",6.1,-0.5,0.01,0.995128082502191,1988.06279134612,0.568618010636419,11.9767326859292,5.69040969260256
"17",6,-0.4,0.03,1.03472468584076,1988.04538513162,0.688111699620883,11.874523518801,6.25976507641011
